ItemID,SentimentText,IID,comment_length
58795,bendystrawz gotta get g find,15839,28
183548,heather bentley hello,11809,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,13854,104
2230,really bad day,14066,14
168741,gavsmom mine near belly button disguised,10621,40
33973,allieandra blurt slow plaaaaah,13815,30
192681,iamdanyellej except light backyard like ft knox lol sleep,17389,57
21388,sweetwhirl problem ttyl,18745,23
145022,emilyosment arent u pretty late like suppose night,13530,50
241198,justine xxx soooo jealous soooo wanna see danny,12122,47
58795,bendystrawz gotta get g find,13907,28
183548,heather bentley hello,19793,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,19847,104
2230,really bad day,11014,14
168741,gavsmom mine near belly button disguised,18182,40
33973,allieandra blurt slow plaaaaah,18505,30
192681,iamdanyellej except light backyard like ft knox lol sleep,19696,57
21388,sweetwhirl problem ttyl,10408,23
145022,emilyosment arent u pretty late like suppose night,10815,50
241198,justine xxx soooo jealous soooo wanna see danny,10366,47
58795,bendystrawz gotta get g find,18778,28
183548,heather bentley hello,17905,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,10475,104
2230,really bad day,12473,14
168741,gavsmom mine near belly button disguised,11400,40
33973,allieandra blurt slow plaaaaah,13720,30
192681,iamdanyellej except light backyard like ft knox lol sleep,16094,57
21388,sweetwhirl problem ttyl,14265,23
145022,emilyosment arent u pretty late like suppose night,10035,50
241198,justine xxx soooo jealous soooo wanna see danny,12586,47
58795,bendystrawz gotta get g find,12096,28
183548,heather bentley hello,12476,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,13890,104
2230,really bad day,19526,14
168741,gavsmom mine near belly button disguised,18404,40
33973,allieandra blurt slow plaaaaah,14667,30
192681,iamdanyellej except light backyard like ft knox lol sleep,18867,57
21388,sweetwhirl problem ttyl,10138,23
145022,emilyosment arent u pretty late like suppose night,12880,50
241198,justine xxx soooo jealous soooo wanna see danny,12557,47
58795,bendystrawz gotta get g find,11571,28
183548,heather bentley hello,11758,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,15688,104
2230,really bad day,16137,14
168741,gavsmom mine near belly button disguised,13065,40
33973,allieandra blurt slow plaaaaah,13572,30
192681,iamdanyellej except light backyard like ft knox lol sleep,18292,57
21388,sweetwhirl problem ttyl,11140,23
145022,emilyosment arent u pretty late like suppose night,13814,50
241198,justine xxx soooo jealous soooo wanna see danny,11652,47
58795,bendystrawz gotta get g find,17201,28
183548,heather bentley hello,17047,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,14092,104
2230,really bad day,11579,14
168741,gavsmom mine near belly button disguised,12070,40
33973,allieandra blurt slow plaaaaah,14469,30
192681,iamdanyellej except light backyard like ft knox lol sleep,11198,57
21388,sweetwhirl problem ttyl,10659,23
145022,emilyosment arent u pretty late like suppose night,12135,50
241198,justine xxx soooo jealous soooo wanna see danny,19966,47
58795,bendystrawz gotta get g find,15239,28
183548,heather bentley hello,16559,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,19901,104
2230,really bad day,10873,14
168741,gavsmom mine near belly button disguised,11977,40
33973,allieandra blurt slow plaaaaah,10972,30
192681,iamdanyellej except light backyard like ft knox lol sleep,14358,57
21388,sweetwhirl problem ttyl,18825,23
145022,emilyosment arent u pretty late like suppose night,13548,50
241198,justine xxx soooo jealous soooo wanna see danny,18292,47
58795,bendystrawz gotta get g find,17343,28
